-100
note,2762,10
note,4608,12
note,6454,14
note,8300,16
rotate,9223,1
rotate,9569,0
rotate,9915,1
rotate,10146,0
note,10608,20
note,11069,22
drag,11531,11992,22,15,-1
note,12454,10
note,12915,8
note,13377,6
note,13608,4
rotate,13838,1
note,14300,4
note,14762,10
note,15223,6
drag,15685,16262,6,14,1
rotate,16377,0
drag,17531,18915,20,30,1
drag,19377,20762,30,20,-1
drag,21223,22608,20,30,1
note,23069,27
note,23531,27
note,23762,27
note,23992,22
note,24454,22
note,24685,22
drag,24915,26300,22,12,-1
drag,26762,28146,12,22,1
drag,28608,29992,22,12,-1
rotate,30454,1
rotate,30915,0
note,31377,12
note,31838,12
drag,32300,32992,8,18,1
drag,33223,33915,18,8,-1
drag,34146,34838,8,18,1
rotate,35069,0
rotate,35531,1
drag,35992,37492,18,22,1
note,37608,22
note,37723,22
drag,37838,39454,22,12,-1
drag,39685,40377,12,22,1
drag,40608,41300,22,12,-1
drag,41531,42223,12,22,1
rotate,42454,1
rotate,42915,0
note,43377,31
note,43723,31
note,44069,31
note,44300,25
note,44646,25
note,44992,25
note,45223,22
rotate,45915,0
drag,45915,47069,31,15,-1
drag,47069,48915,15,31,-1
drag,48915,50762,31,15,-1
drag,50762,52377,15,31,-1
rotate,52608,0
rotate,52954,1
rotate,53300,0
drag,53762,54454,31,31,1
note,54454,31
note,54800,27
note,55146,23
note,55377,20
note,55838,17
note,56069,20
rotate,56300,0
rotate,56646,1
rotate,56992,0
note,57685,20
note,57915,18
note,58146,16
note,58492,10
note,58838,16
note,59300,14
note,59531,12
note,59762,10
rotate,59992,1
rotate,60338,0
rotate,60685,1
note,61146,10
note,61377,8
note,61608,6
drag,61838,62531,6,16,1
note,62992,16
note,63223,20
note,63454,22
rotate,63685,1
rotate,64031,0
rotate,64377,1
drag,64838,68000,22,0,-1
