200
note,2506,25
note,4463,14
note,5115,10
note,5441,13
note,5767,15
note,5930,15
rotate,6256,1
rotate,7723,1
note,8376,28
note,8865,30
note,9191,25
note,9354,25
note,9517,25
rotate,10332,1
rotate,10658,0
rotate,10984,1
rotate,11310,0
note,11637,25
note,11800,27
note,11963,29
note,12126,0
note,12289,2
note,12452,4
note,12615,6
note,12778,8
note,12941,10
rotate,13267,1
note,13593,16
note,13756,16
rotate,13919,0
note,14245,10
rotate,14571,1
note,14734,16
note,15060,16
rotate,15223,0
note,15550,10
rotate,15876,1
note,16202,16
note,16365,16
rotate,16528,0
note,16854,10
rotate,17180,1
note,17343,16
note,17669,16
rotate,17832,0
note,18158,10
rotate,18484,1
note,18810,16
note,18973,16
rotate,19137,0
note,19463,10
rotate,19789,1
note,19952,16
note,20278,16
rotate,20441,0
rotate,20767,1
rotate,21256,0
rotate,21745,1
drag,21745,23050,16,30,1
drag,23376,23828,25,15,-1
rotate,24028,1
drag,24680,24843,20,21,1
drag,25006,25169,20,21,1
rotate,25332,0
drag,25984,26437,16,6,-1
rotate,26637,1
note,26963,10
drag,27289,27452,10,11,1
drag,27615,27778,10,11,1
rotate,27941,0
drag,28593,29045,12,22,1
rotate,29245,0
note,29897,17
note,30223,20
note,30387,20
rotate,30713,0
rotate,31039,1
drag,31039,33158,20,10,1
note,33810,20
note,34137,21
note,34463,22
note,34789,23
note,35115,24
note,35441,25
note,35767,26
note,36093,22
note,36419,26
note,36745,25
note,37071,24
note,37397,23
note,37723,22
note,38050,21
note,38376,18
note,38539,19
note,38702,20
note,38865,16
note,39028,18
note,39354,20
note,39680,21
note,40006,22
note,40332,23
note,40658,24
note,40984,28
note,41310,25
note,41637,24
note,41963,23
note,42289,22
note,42615,21
note,42941,22
note,43267,23
note,43593,24
note,43756,24
note,43919,24
note,44082,24
drag,44245,44734,24,30,1
note,44897,2
note,45223,4
note,45876,8
rotate,46202,1
rotate,46528,0
drag,46854,47343,8,2,-1
note,47506,28
note,47832,25
note,48484,23
note,48810,22
note,48973,21
note,49137,20
note,49300,19
drag,49463,49952,19,25,1
note,50115,28
note,50441,25
note,51093,22
rotate,51419,0
rotate,51745,0
rotate,52071,1
drag,52071,52360,20,20,1
rotate,52560,0
drag,52560,52850,15,15,-1
rotate,53050,1
drag,53050,53828,20,20,1
note,54191,22
note,54354,24
note,54517,26
note,54680,28
note,57289,30
note,59897,28
drag,62506,63647,30,10,-1
rotate,63647,0
drag,64952,65441,17,22,1
note,65767,24
note,65930,24
note,66093,27
rotate,66419,0
note,66745,23
note,66908,21
note,67234,21
note,67397,23
rotate,67560,1
drag,67560,68050,27,2,1
note,68376,4
note,68539,4
note,68702,4
note,68865,4
rotate,69191,1
rotate,69517,0
rotate,69843,1
drag,69843,70495,9,19,1
note,70658,18
note,70821,17
note,70984,16
note,71147,15
note,71310,14
note,71473,13
note,71637,12
note,71800,11
note,71963,10
note,72126,9
note,72289,8
note,72452,7
note,72615,6
note,72778,5
rotate,73104,0
rotate,73593,1
rotate,74082,0
drag,75387,76528,30,0,-1
drag,76528,77669,30,0,-1
rotate,77995,1
note,78484,5
note,78810,7
note,79137,9
note,79463,11
note,79789,13
note,80115,15
note,80441,17
rotate,80767,0
note,81093,12
note,81419,14
note,81745,16
note,82071,18
note,82397,20
note,82723,22
note,83050,24
rotate,83376,1
note,83702,21
rotate,84028,1
note,84354,21
rotate,84680,1
note,85006,21
rotate,85332,1
note,85658,21
drag,85821,88104,23,10,1
note,88267,10
drag,88430,89734,10,25,1
note,90060,24
note,90223,23
note,90387,22
note,90550,21
note,90713,20
note,90876,19
rotate,91039,1
drag,91365,91691,24,29,1
note,91854,30
note,92017,30
note,92180,30
note,92506,28
note,92669,27
note,92832,26
note,92995,25
note,93158,24
note,93321,23
note,93484,22
note,93647,21
rotate,93810,1
note,94137,26
rotate,94463,0
note,94626,21
note,94952,19
note,95278,17
note,95441,16
drag,95604,96256,17,25,1
rotate,96419,0
note,96745,20
note,97071,18
note,97234,18
note,97887,20
note,98050,21
note,98213,22
note,98376,23
note,98539,24
note,98702,25
note,98865,26
rotate,99028,0
drag,99028,99317,26,20,-1
rotate,99517,1
rotate,100006,0
rotate,100332,1
drag,100332,100621,18,24,1
rotate,100821,0
rotate,101310,1
rotate,101473,0
note,101963,20
note,102289,20
note,102615,19
note,102941,19
note,103267,18
note,103593,18
note,103919,17
note,104245,17
note,104571,16
note,104897,16
note,105223,15
note,105550,15
note,105876,14
note,106202,15
note,106365,16
note,106528,17
note,106691,18
note,106854,19
note,107180,19
note,107506,20
note,107832,20
note,108158,21
note,108484,21
note,108810,22
note,108973,22
note,109137,23
note,109300,24
note,109463,25
note,109789,26
note,110115,27
note,110441,28
note,110767,28
note,111093,29
note,111419,29
note,111745,30
note,112071,0
note,112397,1
note,112723,2
note,113131,3
note,113539,4
note,113946,5
note,114435,6
note,114680,8
note,115006,10
note,115414,15
drag,116392,118919,18,0,-1


